handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
4YourDataCenter,Al Thiel,891,3617,1,1,35422,15,102,35311
puffnfresh,Brian McKenna,1632,9837,1,1,1192,79,174,3261
drewconway,Drew Conway,1746,18735,1,1,286,165,540,7300
NTTDATAAmericas,NTT DATA Americas,1431,3125,1,1,221,0,68,2193
DataRecoveryPro, Clayton Rogue,1653,704,1,1,186,1,38,747
DataFinch,DataFinch,476,958,1,1,1926,954,2,542
BigDataInsights,Marty Wells,1429,612,1,1,656,8,22,514
TheDataOctopus,The Data Octopus,1151,3103,1,1,2409,1201,33,2193
GuardianData,GuardianData,1674,5963,1,1,189,2,2902,38526
datadryadnew,Dryad Data,1087,2313,0,1,0,0,6,98
Open_TO,Open Data Toronto,1444,3747,1,1,774,275,441,5062
BigData_,Big Data,1535,19465,1,1,2873,1,218,4338
DataJoeG,Data Joe,171,472,0,1,555,140,2,355
opendatanavarra,Open Data Navarra,948,1009,1,1,682,107,152,1488
driven_by_data,Gregor  Aisch,1155,2889,1,1,426,667,507,5248
DataCabler,Techfit's Cable Guy,1528,397,1,1,1690,0,15,640
BigDataExpo,BigDataExpo™,701,20629,1,1,490,24,225,9177
kevinweil,Kevin Weil,2381,11885,1,1,1830,6709,873,29550
BankruptcyData,BankruptcyData.com,902,666,1,1,100,0,18,432
DataMasher,DataMasher.org,1519,370,1,1,3102,0,322,3053
vFabricGemfire,Pivotal Fast Data,1611,301,1,1,1080,0,61,992
DataSiftDev,DataSift Developer,1186,562,1,1,11,0,23,732
OpenCultuurData,OpenCultuurData,652,456,1,1,180,2,26,565
DataJunkie,Ryan Rosario,2113,11816,1,1,733,2026,617,6986
DataEquity,Data Equity LLC,1496,245,0,1,1447,12,13,636
datachick,Karen Lopez,1906,128724,1,1,2665,865,718,8180
MyDataMovie,My Data Movie,1112,3595,1,1,1379,1,53,1358
MdStateDataCtr,MD Dept of Planning,1554,869,1,1,96,3,57,992
LiteracyData,LiteracyPro Systems,232,300,1,1,741,35,2,317
MyDataNest,MyDataNest,1609,30,1,1,1185,0,3,679
mjcavaretta,Michael Cavaretta,1616,3938,1,1,1385,379,84,1859
FireDataMan,Andrew B,1633,2053,1,1,308,1,29,344
eyeofestival,eyeo organizers,1035,1270,1,1,112,2,412,5870
deanwampler,Dean Wampler,1933,9000,1,1,694,1787,429,4806
