handle,name,age,num_of_tweets,has_profile,has_pic,num_following,num_of_favorites,num_of_lists,num_of_followers
analyticbridge,Big Data Science,2029,10894,1,1,1664,70,585,9138
ds_ldn,Data Science London,619,2211,1,1,243,0,200,3284
kdnuggets,Gregory Piatetsky,1706,11184,1,1,359,76,919,13621
DataScienceIndy,DataScience Indy,234,23,0,1,0,0,4,24
DataScienceCtrl,Data Science Central,722,275,1,1,1034,0,82,1799
MadDataScience,Alessandro Gagliardi,986,778,1,1,1316,42,46,883
DataEnthusiast,Data Enthusiast,877,751,1,1,1566,7,62,1371
jrmontag,Josh,1576,29151,1,1,1841,503,156,1731
kyharlin,Ky Harlin,1105,141,1,1,99,11,26,344
q_datascience,Data Science,1064,429,0,1,0,0,14,90
billghowe,Bill Howe,1752,90,1,1,37,1,21,474
jfxberns,jfxberns,2339,11828,1,1,518,10,184,2774
BerkeleyData,datascience@berkeley,222,138,1,1,298,3,20,690
datascience_c,Data Science Center,203,25,0,1,101,0,5,32
datasci_Global,Data Science Global,570,71,0,1,34,0,14,270
chicagodata,Data Science Chicago,243,57,1,1,215,0,19,471
DataScienceGeek,Juan Villanueva,663,1412,1,1,108,5,6,239
DataScienceBLN,DataScience Berlin,613,37,1,1,8,0,6,53
KirkDBorne,Kirk Borne,564,14388,1,1,6177,20265,228,5929
datasciencetips,Data Science Tips,1267,11,1,1,68,1,16,1343
TedOBrien93,Data Science Report,891,1230,1,1,1897,8,19,1645
SVDataScience,SV Data Science,194,56,1,1,121,7,5,186
DataScienceROCK,Southern_Charmer,853,12919,1,1,1458,2,3,1065
DataScience201,Data Science 201,333,153,0,0,32,0,4,82
SaayaY,Saaya Yasuda,1613,3541,1,1,573,786,42,647
DataScienceFr,Data Scientists,207,0,1,1,194,0,5,263
imitrovic,Ivan Mitrovic,2403,695,1,1,148,13,23,276
IstvanHajnal,Istvan Hajnal,758,2149,1,1,423,190,11,281
shankariyer,ShankarRadhakrishnan,2037,3383,1,1,457,8,8,214
statshero,ulrich atz,563,365,1,1,130,40,11,155
swgoof,Ryan Swanstrom,1578,3054,1,1,343,1,42,711
leafspider,Mark Hurst,1931,588,1,1,85,0,5,111
InsightDataSci,Insight Data Science,512,5,0,1,22,0,1,83
rey__f,Rey ,1416,587,0,1,507,31,3,144
DataScienceFeed,Data_Science_Exeter,49,29,0,1,88,9,0,42
badassdata,badass data science,833,240,1,1,92,3,9,92
mspan,Mike Spaner,2174,569,1,1,485,313,8,172
yonghosee,용호씨,1609,3684,1,1,829,206,83,1378
kogim,KimInGi,1411,4147,0,1,1993,1720,17,1370
DataScienceATL,Data Science ATL,499,58,0,1,25,0,5,52
asaf_birenzvieg,asaf birenzvieg ,1682,1036,0,1,91,10,2,121
masao_classcat,Masashi Okumura,675,178,1,1,340,11,3,269
LeanDataScience,Lean Data,131,240,0,1,121,2451,7,75
Shailza,Shailiza Manandhar,1667,2488,1,1,174,419,12,261
Reza_Zadeh,Reza Zadeh,1412,621,0,1,336,197,19,1423
fullscratch,hiro takatsuka,1651,6459,1,1,329,348,35,363
cdsscu,CU Data Science Soc,172,14,0,1,12,0,7,61
wyang72,Woosung Yang,1678,1303,1,1,335,508,21,485
datascience,Data Science,1035,0,0,0,16,0,3,36
BR_DataScience,DataScience,114,93,1,1,43,0,0,8
tumra,TUMRA | Data Science,559,18,1,1,104,0,7,144
kingqwert,米岡大輔,1485,2429,1,1,635,26,35,574
